city,state,country,source,wmonum,latitude,longitude,timezone,elevation,link
Mount Clemens Selfridge Fld,MI,USA,TMY3,725377,42.62,-82.83,-5,177,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MI_Mount.Clemens-Selfridge.ANGB.725377_TMY3.zip
Roosevelt Roads,PR,PRI,TMY3,785350,18.25,-65.63,-4,12,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/PRI_Roosevelt.Roads.NAS.785350_TMY3.zip
Malad City,ID,USA,TMY3,725786,42.15,-112.28,-7,1362,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_ID_Malad.City.AP.725786_TMY3.zip
Changsha,Hunan,CHN,CSWD,576870,28.22,112.92,8,68,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Hunan.Changsha.576870_CSWD.zip
Gambell,AK,USA,TMY3,702040,63.78,-171.75,-9,8,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Gambell.702040_TMY3.zip
Seattle-Tacoma/Int'l A,WA,USA,TMY--24233,727930,47.45,-122.3,-8,137,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY.zip
WARSAW,-,POL,IWEC Data,123750,52.17,20.97,1,107,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/POL_Warsaw.123750_IWEC.zip
Worthington  Awos,MN,USA,TMY3,726587,43.65,-95.58,-6,480,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MN_Worthington.AWOS.726587_TMY3.zip
CHOLUTECA,-,HND,SWERA,787240,13.3,-87.18,-6,48,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/HND_Choluteca.787240_SWERA.zip
Tonghe,Heilongjiang,CHN,CSWD,509630,45.97,128.73,8,108.6,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Heilongjiang.Tonghe.509630_CSWD.zip
TALLAHASSEE,FL,USA,TMY2-93805,722140,30.38,-84.37,-5,21,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_FL_Tallahassee.722140_TMY2.zip
COLUMBUS,GA,USA,TMY2-93842,722255,32.52,-84.95,-5,136,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_GA_Columbus.722255_TMY2.zip
Corpus Christi,TX,USA,TMY--12924,722510,27.77,-97.5,-6,13,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_TX_Corpus.Christi.Intl.AP.722510_TMY.zip
Farmington Four Corners Regl,NM,USA,TMY3,723658,36.75,-108.23,-7,1675,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NM_Farmington-Four.Corners.Rgnl.AP.723658_TMY3.zip
Macon,GA,USA,TMY-- 3813,722170,32.7,-83.65,-5,110,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_GA_Macon-Middle.Georgia.Rgnl.AP.722170_TMY.zip
Darlag,Qinghai,CHN,CSWD,560460,33.75,99.65,8,3967.5,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Qinghai.Darlag.560460_CSWD.zip
Fort Madison,IA,USA,TMY3,725483,40.67,-91.33,-6,221,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_IA_Fort.Madison.Muni.AP.725483_TMY3.zip
Lafayette Regional Ap,LA,USA,TMY3,722405,30.2,-91.98,-6,12,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_LA_Lafayette.RgnlAP.722405_TMY3.zip
KAGOSHIMA,-,JPN,IWEC Data,478270,31.57,130.55,9,5,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/JPN_Kagoshima.478270_IWEC.zip
Nitchequon,PQ,CAN,WYEC2-B-15703,CAN270,53.2,-70.9,-5,536,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/3_canada/CAN_PQ_Nitchequon.CAN270_CWEC.zip
Sumter Shaw Afb,SC,USA,TMY3,747900,33.97,-80.47,-5,74,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_SC_Shaw.AFB.747900_TMY3.zip
PITTSBURGH,PA,USA,TMY2-94823,725200,40.5,-80.22,-5,373,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_PA_Pittsburgh.725200_TMY2.zip
Savannah Intl Ap,GA,USA,TMY3,722070,32.12,-81.2,-5,14,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_GA_Savannah.Intl.AP.722070_TMY3.zip
Mineral Wells Municipal Ap,TX,USA,TMY3,722597,32.78,-98.07,-6,284,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_TX_Mineral.Wells.Muni.AP.722597_TMY3.zip
Stillwater Rgnl,OK,USA,TMY3,723545,36.15,-97.08,-6,308,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_OK_Stillwater.Rgnl.AP.723545_TMY3.zip
New Haven Tweed Airport,CT,USA,TMY3,725045,41.27,-72.88,-5,2,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_CT_New.Haven-Tweed.AP.725045_TMY3.zip
Anderson County Ap,SC,USA,TMY3,723125,34.5,-82.72,-5,232,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_SC_Anderson.County.AP.723125_TMY3.zip
Dodge City Regional Ap,KS,USA,TMY3,724510,37.77,-99.97,-6,785,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_KS_Dodge.City.Rgnl.AP.724510_TMY3.zip
Bandar Abass,-,IRN,ITMY,408750,27.13,56.22,3,9.8,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/IRN_Bandar.Abass.408750_ITMY.zip
Raipur,Chhattisgarh,IND,ISHRAE,428750,21.23,81.65,5.5,298,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/IND_Raipur.428750_ISHRAE.zip
Ogden Hinkley Airport,UT,USA,TMY3,725750,41.2,-112.02,-7,1362,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_UT_Ogden-Hinkley.AP.725750_TMY3.zip
DUBLIN,-,IRL,IWEC Data,39690,53.43,-6.25,0,85,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/IRL_Dublin.039690_IWEC.zip
Roanoke Regional Ap,VA,USA,TMY3,724110,37.32,-79.97,-5,350,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_VA_Roanoke.Rgnl.AP-Woodrum.Field.724110_TMY3.zip
Shannon Arpt,VA,USA,TMY3,724033,38.27,-77.45,-5,26,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_VA_Fredericksburg-Shannon.AP.724033_TMY3.zip
YOUNGSTOWN,OH,USA,TMY2-14852,725250,41.27,-80.67,-5,361,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_OH_Youngstown.725250_TMY2.zip
Charleston,WV,USA,TMY--13866,724140,38.37,-81.6,-5,299,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_WV_Charleston-Yeager.AP.724140_TMY.zip
Fair Field,IA,USA,TMY3,726498,41.05,-91.98,-6,244,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_IA_Fairfield.Muni.AP.726498_TMY3.zip
Zakopane,-,POL,IMGW,126250,49.3,19.97,1,857,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/POL_Zakopane.126250_IMGW.zip
FAIRBANKS,AK,USA,TMY2-26411,702610,64.82,-147.87,-9,138,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Fairbanks.702610_TMY2.zip
Port Hedland Airport,WA,AUS,RMY,943120,-20.37,118.63,8,9,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/5_southwest_pacific_wmo_region_5/AUS_WA.Port.Hedland.Airport.943120_RMY.zip
Allentown,PA,USA,TMY--14737,725170,40.65,-75.43,-5,117,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_PA_Allentown-Lehigh.Valley.Intl.AP.725170_TMY.zip
Minchumina,AK,USA,TMY3,702460,63.88,-152.28,-9,213,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Minchumina.702460_TMY3.zip
Henderson City,KY,USA,TMY3,724238,37.82,-87.68,-6,117,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_KY_Henderson.City.County.AP.724238_TMY3.zip
Auckland,Auckland,New Zealand,TMY2 NIWA 1962 C74082,931190,-37.01,174.79,12,33,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/5_southwest_pacific_wmo_region_5/NZL_Auckland-Auckland.AK.931190_NIWA.zip
Southern Pines Awos,NC,USA,TMY3,723143,35.23,-79.4,-5,141,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NC_Southern.Pines-Moore.County.AP.723143_TMY3.zip
Aswan,Aswan,EGY,ETMY,624140,23.97,32.78,2,194,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/1_africa_wmo_region_1/EGY_Aswan.624140_ETMY.zip
Detroit Lakes Awos,MN,USA,TMY3,727457,46.83,-95.88,-6,426,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MN_Detroit.Lakes.AWOS.727457_TMY3.zip
Auburn Lewiston,ME,USA,TMY3,726184,44.05,-70.28,-5,88,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_ME_Auburn-Lewiston.Muni.AP.726184_TMY3.zip
Detroit/City,MI,USA,TMY--14822,725375,42.5,-83,-5,190,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MI_Detroit-City.AP.725375_TMY.zip
Rockport Aransas Co,TX,USA,TMY3,722524,28.08,-97.05,-6,8,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_TX_Rockport-Aransas.Co.AP.722524_TMY3.zip
EVANSVILLE,IN,USA,TMY2-93817,724320,38.05,-87.53,-6,118,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_IN_Evansville.724320_TMY2.zip
SPRINGFIELD,IL,USA,TMY2-93822,724390,39.83,-89.67,-6,187,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_IL_Springfield.724390_TMY2.zip
VOI,-,KEN,SWERA,637930,-3.4,38.57,3,579,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/1_africa_wmo_region_1/KEN_Voi.637930_SWERA.zip
Jamnagar,Gujarat,IND,ISHRAE,427340,22.47,70.02,5.5,20,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/IND_Jamnagar.427340_ISHRAE.zip
ROCHESTER,MN,USA,TMY2-14925,726440,43.92,-92.5,-6,402,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MN_Rochester.726440_TMY2.zip
Camarillo  Awos,CA,USA,TMY3,723926,34.22,-119.08,-8,23,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_CA_Camarillo.AWOS.723926_TMY3.zip
Parma,-,ITA,IGDG,161300,44.48,10.19,1,68,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/ITA_Parma.161300_IGDG.zip
Tenerife,-,ESP,SWEC,600200,28.47,-16.25,1,46,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/ESP_Tenerife.600200_SWEC.zip
Quebec City,PQ,CAN,WYEC2-B-04708,717080,46.8,-71.38,-5,73,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/3_canada/CAN_PQ_Quebec.717140_CWEC.zip
Monte Terminillo,-,ITA,IGDG,162190,42.47,12.98,1,1875,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/ITA_Monte.Terminillo.162190_IGDG.zip
Mansfield Lahm Municipal Arpt,OH,USA,TMY3,725246,40.82,-82.52,-5,395,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_OH_Mansfield-Lahm.Muni.AP.725246_TMY3.zip
Catania-Sigonella,-,ITA,IGDG,164590,37.4,14.92,1,22,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/ITA_Catania-Sigonella.164590_IGDG.zip
HEFEI/LUOGANG,-,CHN,SWERA,583210,31.87,117.23,8,36,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Anhui.Hefei.583210_SWERA.zip
Pensacola Regional Ap,FL,USA,TMY3,722223,30.48,-87.18,-6,34,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_FL_Pensacola.Rgnl.AP.722223_TMY3.zip
Sherbrooke,PQ,CAN,WYEC2-B-04785,716100,45.43,-71.68,-5,241,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/3_canada/CAN_PQ_Sherbrooke.716100_CWEC.zip
Roanoke,VA,USA,TMY--13741,724110,37.32,-79.97,-5,358,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_VA_Roanoke.Rgnl.AP-Woodrum.Field.724110_TMY.zip
Burlington,VT,USA,TMY--14742,726170,44.47,-73.15,-5,104,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_VT_Burlington.Intl.AP.726170_TMY.zip
Walnut Ridge  Awos,AR,USA,TMY3,723406,36.13,-90.92,-6,83,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AR_Walnut.Ridge.AWOS.723406_TMY3.zip
HARBIN,-,CHN,IWEC Data,509530,45.72,126.68,8,143,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Heilongjiang.Harbin.509530_IWEC.zip
Battle Harbour,NF,CAN,WYEC2-B-CAN06,718170,52.3,-55.83,-3.5,8,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/3_canada/CAN_NF_Battle.Harbour.718170_CWEC.zip
St Louis Spirit Of St Louis A,MO,USA,TMY3,724345,38.65,-90.65,-6,141,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MO_St.Louis-Spirit.of.St.Louis.AP.724345_TMY3.zip
Morris Muni  Awos,MN,USA,TMY3,726565,45.57,-95.97,-6,344,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MN_Morris.Muni.AWOS.726565_TMY3.zip
SIOUX_FALLS,SD,USA,TMY2-14944,726510,43.57,-96.73,-6,435,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_SD_Sioux.Falls.726510_TMY2.zip
Hyderabad,Andhra Pradesh,IND,ISHRAE,431280,17.45,78.47,5.5,545,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/IND_Hyderabad.431280_ISHRAE.zip
Alliance Municipal,NE,USA,TMY3,725635,42.05,-102.8,-7,1198,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NE_Alliance.Muni.AP.725635_TMY3.zip
TONGLIAO,-,CHN,SWERA,541350,43.6,122.27,8,180,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Nei.Mongol.Tongliao.541350_SWERA.zip
Minocqua Woodruff,WI,USA,TMY3,726404,45.93,-89.73,-6,496,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_WI_Minocqua-Woodruff-Lee.Field.726404_TMY3.zip
Winslow,AZ,USA,TMY--23194,723740,35.03,-110.71,-7,1490,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AZ_Winslow.Muni.AP.723740_TMY.zip
Portland International Ap,OR,USA,TMY3,726980,45.6,-122.62,-8,6,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_OR_Portland.Intl.AP.726980_TMY3.zip
Soria,-,ESP,SWEC,81480,41.77,-2.48,1,82,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/ESP_Soria.081480_SWEC.zip
Climate Zone 12,CA,USA,CTZRV2,724830,38.5,-121.5,-8,5,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/2_california_climate_zones/CZ12RV2.zip
NICE,-,FRA,IWEC Data,76900,43.65,7.2,1,10,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/FRA_Nice.076900_IWEC.zip
SAN_FRANCISCO,CA,USA,TMY2-23234,724940,37.62,-122.38,-8,5,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_CA_San.Francisco.724940_TMY2.zip
Gainesville Regional Ap,FL,USA,TMY3,722146,29.7,-82.28,-5,41,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_FL_Gainesville.Rgnl.AP.722146_TMY3.zip
ASHEVILLE,NC,USA,TMY2-03812,723150,35.43,-82.53,-5,661,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NC_Asheville.723150_TMY2.zip
Dutch Harbor,AK,USA,TMY3,704890,53.9,-166.55,-9,4,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Unalaska-Dutch.Harbor.Field.704890_TMY3.zip
Millinocket Municipal Ap,ME,USA,TMY3,726196,45.65,-68.68,-5,124,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_ME_Millinocket.Muni.AP.726196_TMY3.zip
Climate Zone 15,CA,USA,CTZRV2,747185,32.8,-115.6,-8,-9,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/2_california_climate_zones/CZ15RV2.zip
INDIANAPOLIS,IN,USA,TMY2-93819,724380,39.73,-86.28,-5,246,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_IN_Indianapolis.724380_TMY2.zip
Pensacola Forest Sherman Nas,FL,USA,TMY3,722225,30.35,-87.32,-6,10,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_FL_Pensacola-Forest.Sherman.NAS.722225_TMY3.zip
Akron Washington Co Ap,CO,USA,TMY3,724698,40.17,-103.23,-7,1421,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_CO_Akron-Washington.County.AP.724698_TMY3.zip
Vance Afb,OK,USA,TMY3,723535,36.33,-97.92,-6,408,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_OK_Vance.AFB.723535_TMY3.zip
Akron/Canton,OH,USA,TMY--14895,725210,40.92,-81.43,-5,377,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_OH_Akron.Canton.Rgnl.AP.725210_TMY.zip
Washington Dc Reagan Ap,VA,USA,TMY3,724050,38.87,-77.03,-5,3,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_VA_Arlington-Ronald.Reagan.Washington.Natl.AP.724050_TMY3.zip
Molokai  Amos,HI,USA,TMY3,911860,21.15,-157.1,-10,137,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_HI_Molokai.AWOS.911860_TMY3.zip
Luzhou,Sichuan,CHN,CSWD,576020,28.88,105.43,8,334.8,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Sichuan.Luzhou.576020_CSWD.zip
Hydaburg Seaplane,AK,USA,TMY3,703884,55.2,-132.83,-9,0,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Hydaburg.Seaplane.Base.703884_TMY3.zip
TASHKENT,-,UZB,IWEC Data,384570,41.27,69.27,5,458,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/UZB_Tashkent.384570_IWEC.zip
Burley Municipal Arpt,ID,USA,TMY3,725867,42.53,-113.77,-7,1267,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_ID_Burley.Muni.AP.725867_TMY3.zip
Klamath Falls Intl Ap  Uo,OR,USA,TMY3,725895,42.22,-121.74,-8,1220,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_OR_Klamath.Falls.Intl.AP.725895_TMY3.zip
Crestview Bob Sikes Ap,FL,USA,TMY3,722215,30.78,-86.52,-6,58,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_FL_Crestview-Bob.Sikes.AP.722215_TMY3.zip
YULIN,-,CHN,SWERA,536460,38.23,109.7,8,1058,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Shaanxi.Yulin.536460_SWERA.zip
Paso Real de San Diego,-,CUB,SWERA,783170,22.57,-83.3,-5,44,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/CUB_Paso.Real.de.San.Diego.783170_SWERA.zip
Zhijiang,Hunan,CHN,CSWD,577450,27.45,109.68,8,272.2,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Hunan.Zhijiang.577450_CSWD.zip
Farmville,VA,USA,TMY3,724017,37.35,-78.43,-5,125,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_VA_Farmville.Muni.AP.724017_TMY3.zip
BOISE,ID,USA,TMY2-24131,726810,43.57,-116.22,-7,874,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_ID_Boise.726810_TMY2.zip
WATERLOO,IA,USA,TMY2-94910,725480,42.55,-92.4,-6,265,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_IA_Waterloo.725480_TMY2.zip
Glen Burnie/Baltimore/,MD,USA,TMY--93721,724060,39.18,-76.67,-5,47,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MD_Baltimore-Washington.Intl.AP.724060_TMY.zip
Monterey Naf,CA,USA,TMY3,724915,36.6,-121.87,-8,50,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_CA_Monterey.NAF.724915_TMY3.zip
Santiago de Cuba,-,CUB,SWERA,782640,19.97,-75.85,-5,69,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/CUB_Santiago.de.Cuba.782640_SWERA.zip
Townsville Aero,QLD,AUS,RMY,942940,-19.25,146.77,10,9,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/5_southwest_pacific_wmo_region_5/AUS_QLD.Townsville.Aero.942940_RMY.zip
KANGNUNG,-,KOR,IWEC Data,471050,37.75,128.9,9,27,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/KOR_Kangnung.471050_IWEC.zip
Orange City,IA,USA,TMY3,725489,42.98,-96.07,-6,431,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_IA_Orange.City.Muni.AP.725489_TMY3.zip
St John's,NF,CAN,WYEC2-B-14521,718010,47.62,-52.73,-3.5,140,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/3_canada/CAN_NF_St.Johns.718010_CWEC.zip
TUNIS,-,TUN,IWEC Data,607150,36.83,10.23,1,4,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/1_africa_wmo_region_1/TUN_Tunis.607150_IWEC.zip
Beatrice Municipal,NE,USA,TMY3,725515,40.3,-96.75,-6,403,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NE_Beatrice.Muni.AP.725515_TMY3.zip
Rawlins Municipal Ap,WY,USA,TMY3,725745,41.8,-107.2,-7,2053,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_WY_Rawlins.Muni.AP.725745_TMY3.zip
PORTLAND,OR,USA,TMY2-24229,726980,45.6,-122.6,-8,12,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_OR_Portland.726980_TMY2.zip
Bhopal,Madhya Pradesh,IND,ISHRAE,426670,23.28,77.35,5.5,523,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/IND_Bhopal.426670_ISHRAE.zip
