city,state,country,source,wmonum,latitude,longitude,timezone,elevation,link
VICTORIA,TX,USA,TMY2-12912,722550,28.85,-96.92,-6,32,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_TX_Victoria.722550_TMY2.zip
BIG_DELTA,AK,USA,TMY2-26415,702670,64,-145.73,-9,388,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Big.Delta.702670_TMY2.zip
Nenjiang,Heilongjiang,CHN,CSWD,505570,49.17,125.23,8,242.2,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Heilongjiang.Nenjiang.505570_CSWD.zip
SZOMBATHELY,-,HUN,IWEC Data,128120,47.27,16.63,1,221,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/HUN_Szombathely.128120_IWEC.zip
Hokitika,West Coast,New Zealand,TMY2 NIWA 3910 F20794,936150,-42.72,170.98,12,38,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/5_southwest_pacific_wmo_region_5/NZL_West.Coast-Hokitika.WC.936150_NIWA.zip
Ancona,-,ITA,IGDG,161910,43.62,13.52,1,105,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/ITA_Ancona.161910_IGDG.zip
Key West Nas,FL,USA,TMY3,722015,24.58,-81.68,-5,7,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_FL_Key.West.NAS.722015_TMY3.zip
Laconia Muni  Awos,NH,USA,TMY3,726155,43.57,-71.42,-5,166,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NH_Laconia.Muni.AWOS.726155_TMY3.zip
Alpena County Regional Ap,MI,USA,TMY3,726390,45.07,-83.58,-5,210,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MI_Alpena.County.Rgnl.AP.726390_TMY3.zip
Pellston Emmet County Ap,MI,USA,TMY3,727347,45.57,-84.78,-5,218,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MI_Pellston-Emmet.County.AP.727347_TMY3.zip
WICHITA,KS,USA,TMY2-03928,724500,37.65,-97.42,-6,408,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_KS_Wichita.724500_TMY2.zip
Chongqing Shapingba,Chongqing,CHN,CSWD,575160,29.58,106.47,8,259.1,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Chongqing.Chongqing.Shapingba.575160_CSWD.zip
ABERDEEN/DYCE,-,GBR,IWEC Data,30910,57.2,-2.22,0,65,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/6_europe_wmo_region_6/GBR_Aberdeen.Dyce.030910_IWEC.zip
RECIFE,-,BRA,IWEC Data,828990,-8.1,-34.88,-3,19,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/3_south_america_wmo_region_3/BRA_Recife.828990_IWEC.zip
Worland Municipal,WY,USA,TMY3,726665,43.97,-107.95,-7,1294,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_WY_Worland.Muni.AP.726665_TMY3.zip
Chicopee Falls Westo,MA,USA,TMY3,744910,42.2,-72.53,-5,75,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MA_Chicopee.Falls-Westover.AFB.744910_TMY3.zip
El Paso,TX,USA,TMY--23044,722700,31.8,-106.4,-7,1194,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_TX_El.Paso.Intl.AP.722700_TMY.zip
Shillong,Meghalaya,IND,ISHRAE,425160,25.57,91.88,5.5,1500,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/IND_Shillong.425160_ISHRAE.zip
Astoria Regional Airport,OR,USA,TMY3,727910,46.15,-123.88,-8,3,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_OR_Astoria.Rgnl.AP.727910_TMY3.zip
Miami Kendall Tamia,FL,USA,TMY3,722029,25.65,-80.43,-5,3,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_FL_Miami-Kendall-Tamiami.Executive.AP.722029_TMY3.zip
Ord Sharp Field,NE,USA,TMY3,725524,41.62,-98.95,-6,631,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NE_Ord-Sharp.Field.725524_TMY3.zip
Anaktuvuk Pass,AK,USA,TMY3,701625,68.13,-151.73,-9,657,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Anaktuvuk.Pass.701625_TMY3.zip
